,Valores
0,459.33
1,460.9
2,459.39
3,458.22
4,458.71
5,456.77
6,450.7
7,448.86
8,439.72
9,436.64
10,440.16
11,438.68
12,437.52
13,440.88
14,431.94
15,430.42
16,425.66
17,425.24
18,421.33
19,418.11
20,410.72
21,415.81
22,417.76
23,422.21
24,424.73
25,423.99
26,426.79
27,427.32
28,428.84
29,426.38
30,425.75
31,426.56
32,429.61
33,429.01
34,423.83
35,421.52
36,422.75
37,419.52
38,420.95
39,422.61
40,425.83
41,427.22
42,431.02
43,430.15
44,432.32
45,432.47
46,436.5
47,436.76
48,436.56
49,434.58
50,436.15
51,438.06
52,442.16
53,442.91
54,440.08
55,439.3
56,434.51
57,437.25
58,438.84
59,439.5
60,436.69
61,435.42
62,435.54
63,433.18
64,437.65
65,435.42
66,433.42
67,430.9
68,430.18
69,431.9
70,433.53
71,436.31
72,436.7
73,435.42
74,431.52
75,429.0
76,425.79
77,420.08
78,419.19
79,420.56
80,421.06
81,417.98
82,420.07
83,421.85
84,423.58
85,425.44
86,428.61
87,431.23
88,431.84
89,431.34
90,433.2
91,438.1
92,441.61
93,442.5
94,442.93
95,445.74
96,448.31
97,452.89
98,453.89
99,456.87
100,458.29
101,453.69
102,457.51
103,458.77
104,458.97
105,462.13
106,465.61
107,464.61
108,464.96
109,464.09
110,460.87
111,462.79
112,466.56
113,468.86
114,467.1
115,467.55
116,460.79
117,460.53
118,460.8
119,461.27
120,459.33
121,455.64
122,455.38
123,456.89
124,460.38
125,462.29
126,462.04
127,461.76
128,459.19
129,460.53
130,461.68
131,460.97
132,463.9
133,467.17
134,468.44
135,469.6
136,464.48
137,460.82
138,458.17
139,455.27
140,444.64
141,442.56
142,445.45
143,445.43
144,442.59
145,439.38
146,438.24
147,435.91
148,428.89
149,417.46
150,400.04
151,402.08
152,407.73
153,412.98
154,408.03
155,408.3
156,410.33
157,411.45
158,402.27
159,393.49
160,388.59
161,379.68
162,374.84
163,360.22
164,367.33
165,381.27
166,382.86
167,381.78
168,378.68
169,381.21
170,381.67
171,382.44
172,378.78
173,380.38
174,381.73
175,379.49
176,380.32
177,376.18
178,374.42
179,374.11
180,372.21
181,371.68
182,364.43
183,362.54
184,352.16
185,354.78
186,350.03
187,341.19
188,344.51
189,354.65
190,356.39
191,351.45
192,349.89
193,347.36
194,348.14
195,339.11
196,333.25
197,325.61
198,327.55
199,329.54
200,325.44
201,326.78
202,334.03
203,337.36
204,341.12
